,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,casualty_home_area_type,casualty_imd_decile,number_of_vehicles,number_of_casualties,day_of_week,first_road_class,speed_limit,junction_detail,junction_control,second_road_class,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,labels
54010,1.0,2,20,4,0,0,0,0,1,10,4,6,7,1,70,5,4,3,0,0,1,1,1,4,0,2,1,11.0
54011,2.0,1,20,4,0,0,2,0,3,7,4,6,7,1,70,5,4,3,0,0,1,1,1,4,0,2,1,11.0
54012,2.0,1,21,5,0,0,2,0,1,5,4,6,7,1,70,5,4,3,0,0,1,1,1,4,0,2,1,11.0
54013,2.0,2,77,11,0,0,2,0,1,7,4,6,7,1,70,5,4,3,0,0,1,1,1,4,0,2,1,11.0
54014,2.0,2,23,5,0,0,2,0,3,7,4,6,7,1,70,5,4,3,0,0,1,1,1,4,0,2,1,11.0
54015,2.0,1,75,10,0,0,1,0,3,7,4,6,7,1,70,5,4,3,0,0,1,1,1,4,0,2,1,11.0
54048,2.0,1,35,6,0,0,1,0,1,8,2,2,7,3,30,6,2,6,0,5,1,1,1,4,0,1,2,11.0
54049,1.0,2,50,8,0,0,0,0,1,5,2,2,7,3,30,6,2,6,0,5,1,1,1,4,0,1,2,11.0
54093,1.0,2,44,7,0,0,0,0,2,5,2,4,2,6,60,6,4,6,0,0,1,1,1,3,0,2,2,18.0
54094,2.0,1,15,3,0,0,1,0,2,5,2,4,2,6,60,6,4,6,0,0,1,1,1,3,0,2,2,18.0
54095,1.0,1,74,10,0,0,0,0,1,8,2,4,2,6,60,6,4,6,0,0,1,1,1,3,0,2,2,18.0
54193,1.0,2,40,7,0,0,0,0,2,4,2,1,7,6,30,6,4,3,0,0,1,1,2,4,0,2,2,19.0
54247,1.0,2,46,8,0,0,0,0,1,7,4,1,6,3,40,1,2,3,0,5,4,1,1,4,0,2,2,19.0
54425,1.0,2,21,5,0,0,0,0,1,1,2,1,6,6,20,6,4,6,0,4,4,1,1,4,0,1,2,19.0
54440,1.0,1,22,5,0,0,0,0,1,8,2,1,1,3,30,6,2,6,0,0,4,1,1,4,0,1,2,19.0
54617,1.0,1,18,4,0,0,0,0,1,1,1,1,4,3,40,1,4,6,0,8,1,2,2,6,0,1,2,21.0
54689,1.0,2,27,6,0,0,0,0,3,6,2,2,6,6,30,6,2,6,0,0,4,2,2,4,2,1,2,19.0
54690,1.0,2,45,7,0,0,0,0,3,4,2,2,6,6,30,6,2,6,0,0,4,2,2,4,2,1,2,19.0
54823,1.0,2,31,6,0,0,0,0,2,3,2,4,6,3,60,3,4,6,0,0,1,1,1,4,0,2,1,19.0
54824,2.0,1,6,2,0,0,1,0,2,3,2,4,6,3,60,3,4,6,0,0,1,1,1,4,0,2,1,19.0
54825,2.0,2,26,6,0,0,0,4,2,4,2,4,6,3,60,3,4,6,0,0,1,1,1,4,0,2,1,19.0
54826,2.0,2,72,10,0,0,0,4,3,5,2,4,6,3,60,3,4,6,0,0,1,1,1,4,0,2,1,19.0
54854,1.0,2,48,8,0,0,0,0,1,1,2,1,2,6,30,6,4,6,0,0,1,1,1,1,0,1,2,16.0
54948,1.0,1,49,8,0,0,0,0,3,6,1,1,3,3,70,1,4,6,0,0,1,1,1,3,0,2,2,18.0
55038,1.0,1,26,6,0,0,0,0,3,6,2,1,3,4,60,6,4,5,0,0,1,1,1,3,0,2,2,18.0
55194,1.0,2,31,6,0,0,0,0,3,5,2,2,4,6,30,9,4,6,0,0,1,1,1,3,0,2,2,18.0
55195,2.0,1,0,1,0,0,2,0,3,5,2,2,4,6,30,9,4,6,0,0,1,1,1,3,0,2,2,18.0
55497,1.0,2,20,4,0,0,0,0,1,9,2,2,3,3,40,3,4,5,0,0,5,1,1,3,0,2,2,18.0
55498,2.0,1,62,9,0,0,1,0,2,4,2,2,3,3,40,3,4,5,0,0,5,1,1,3,0,2,2,18.0
55588,1.0,2,46,8,0,0,0,0,1,1,2,1,7,3,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
55621,1.0,2,66,10,0,0,0,0,2,8,2,1,4,6,30,6,4,6,0,0,1,1,1,3,0,2,2,18.0
55645,1.0,1,19,4,0,0,0,0,3,6,2,1,5,6,60,3,4,4,0,0,1,1,2,7,0,2,2,22.0
55693,1.0,1,27,6,0,0,0,0,1,3,1,1,1,3,60,1,4,3,0,0,4,1,1,1,0,2,2,8.0
55973,2.0,1,9,2,0,0,2,0,1,9,2,1,6,4,60,5,4,3,0,0,6,1,1,4,0,2,2,19.0
56217,1.0,1,52,8,0,0,0,0,3,7,2,1,3,6,30,6,4,6,0,0,1,2,2,3,0,1,2,18.0
56268,1.0,2,47,8,0,0,0,0,3,8,2,2,6,4,30,3,2,4,0,0,4,1,1,4,0,2,2,19.0
56269,1.0,1,46,8,0,0,0,0,1,1,2,2,6,4,30,3,2,4,0,0,4,1,1,4,0,2,2,19.0
56472,1.0,2,82,11,0,0,0,0,3,10,3,1,4,6,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
56487,1.0,1,29,6,0,0,0,0,1,2,1,2,4,6,30,3,2,6,0,5,1,1,1,4,2,1,2,19.0
56488,2.0,2,28,6,0,0,1,0,2,10,1,2,4,6,30,3,2,6,0,5,1,1,1,4,2,1,2,19.0
56573,1.0,1,47,8,0,0,0,0,1,9,2,1,1,6,30,3,3,6,0,0,1,1,1,4,0,1,2,19.0
56787,3.0,1,38,7,8,6,0,0,1,6,1,1,7,6,30,3,4,3,0,0,1,1,1,4,0,2,2,19.0
56811,1.0,1,40,7,0,0,0,0,2,10,2,1,6,1,70,1,2,3,0,0,1,1,1,1,0,2,1,16.0
56858,2.0,2,25,5,0,0,1,0,1,2,1,1,5,6,30,9,4,6,0,0,4,1,2,6,1,2,2,21.0
56860,1.0,1,17,4,0,0,0,0,1,8,3,2,2,3,30,3,4,6,0,1,4,1,1,3,0,1,2,10.0
56861,3.0,2,13,3,1,3,0,0,1,5,3,2,2,3,30,3,4,6,0,1,4,1,1,3,0,1,2,10.0
57081,1.0,1,48,8,0,0,0,0,1,5,2,1,5,6,30,3,4,6,0,0,1,1,1,4,0,1,2,11.0
57130,3.0,2,44,7,5,3,0,0,1,6,1,1,2,6,20,9,3,6,0,0,1,1,1,4,0,1,2,19.0
57186,3.0,1,85,11,5,1,0,0,1,6,1,1,4,6,30,3,4,3,0,0,4,1,1,4,0,1,2,19.0
57304,1.0,2,20,4,0,0,0,0,1,5,2,1,1,6,30,9,4,6,0,0,1,8,1,7,0,2,2,22.0
57309,1.0,2,23,5,0,0,0,0,1,8,1,1,6,3,40,1,4,6,0,0,1,1,4,5,0,2,2,20.0
57390,1.0,1,55,8,0,0,0,0,1,9,2,2,5,3,60,1,2,3,0,0,4,1,1,3,0,2,2,18.0
57391,1.0,1,24,5,0,0,0,0,1,8,2,2,5,3,60,1,2,3,0,0,4,1,1,3,0,2,2,18.0
57395,1.0,2,50,8,0,0,0,0,2,9,3,2,3,3,30,1,4,6,0,0,1,1,1,4,2,2,2,19.0
57396,1.0,1,57,9,0,0,0,0,2,10,3,2,3,3,30,1,4,6,0,0,1,1,1,4,2,2,2,19.0
57455,1.0,1,49,8,0,0,0,0,1,7,2,1,7,3,70,1,4,6,0,0,1,1,2,4,0,2,2,19.0
57515,2.0,2,51,8,0,0,1,0,1,5,3,1,7,3,50,1,4,3,0,0,1,1,1,7,0,1,2,22.0
57772,1.0,1,19,4,0,0,0,0,1,6,2,1,6,6,30,1,4,6,0,0,1,1,1,3,0,1,2,18.0
57797,3.0,1,52,8,1,3,0,0,1,9,1,1,4,6,30,9,4,6,0,4,1,1,1,3,0,1,2,18.0
57842,3.0,1,57,9,9,9,0,0,1,4,1,1,2,6,30,3,4,6,0,0,7,1,1,4,0,2,2,19.0
57993,1.0,2,49,8,0,0,0,0,1,9,2,1,4,6,40,1,4,3,0,0,1,1,1,4,0,2,2,19.0
58273,1.0,2,46,8,0,0,0,0,1,3,2,1,3,3,60,3,4,6,0,0,1,1,1,4,0,2,2,19.0
58305,1.0,1,22,5,0,0,0,0,3,6,2,1,6,6,40,3,4,6,0,0,1,1,1,4,0,2,2,19.0
58432,1.0,2,80,11,0,0,0,0,3,6,2,2,2,3,60,3,4,6,0,0,1,1,2,4,0,2,2,19.0
58433,1.0,2,43,7,0,0,0,0,1,5,2,2,2,3,60,3,4,6,0,0,1,1,2,4,0,2,2,19.0
58770,1.0,1,51,8,0,0,0,0,1,6,2,1,3,4,30,3,1,6,2,4,4,2,2,4,0,1,2,19.0
58832,1.0,1,55,8,0,0,0,0,1,4,3,3,6,6,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
58833,2.0,2,62,9,0,0,1,0,1,4,3,3,6,6,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
58834,1.0,2,60,9,0,0,0,0,1,7,3,3,6,6,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
58850,1.0,1,49,8,0,0,0,0,1,6,4,1,3,3,40,1,2,3,0,0,1,3,3,3,0,1,2,18.0
58858,3.0,1,28,6,6,9,0,0,1,2,1,2,5,6,30,7,4,6,0,1,1,3,3,4,0,1,2,19.0
58859,1.0,2,32,6,0,0,0,0,1,5,1,2,5,6,30,7,4,6,0,1,1,3,3,4,0,1,2,19.0
58880,1.0,2,12,3,0,0,0,0,1,2,2,1,5,6,30,1,4,6,0,1,1,1,2,4,0,1,2,19.0
59082,1.0,1,41,7,0,0,0,0,1,2,2,1,4,6,30,6,4,6,0,0,6,1,1,3,0,2,2,18.0
59201,1.0,2,25,5,0,0,0,0,1,4,2,2,3,6,30,6,2,6,0,4,1,1,1,1,0,1,2,16.0
59202,2.0,1,22,5,0,0,1,0,1,1,2,2,3,6,30,6,2,6,0,4,1,1,1,1,0,1,2,16.0
59331,2.0,2,25,5,0,0,2,0,1,4,2,1,7,3,40,3,2,6,0,0,1,1,1,1,0,2,2,16.0
59983,3.0,1,64,9,6,9,0,0,1,3,1,2,6,6,30,9,4,6,0,0,1,1,1,1,0,1,2,8.0
59984,3.0,2,90,11,6,9,0,0,1,7,1,2,6,6,30,9,4,6,0,0,1,1,1,1,0,1,2,8.0
60024,3.0,1,48,8,10,3,0,0,1,7,2,1,5,6,30,3,4,6,2,4,1,1,1,6,0,1,2,21.0
60054,1.0,1,58,9,0,0,0,0,1,10,2,1,4,4,40,3,4,6,0,0,1,1,1,4,0,1,2,19.0
60204,1.0,2,34,6,0,0,0,0,1,7,2,1,4,6,30,6,4,6,0,0,4,1,1,3,0,1,2,18.0
60221,3.0,2,67,10,1,3,0,0,1,1,1,1,4,6,30,9,4,6,0,1,4,1,1,4,0,1,2,19.0
60314,1.0,1,21,5,0,0,0,0,1,6,2,1,3,4,40,1,4,3,0,0,4,2,2,1,0,1,2,16.0
60582,1.0,2,23,5,0,0,0,0,1,5,2,1,5,3,40,1,4,3,0,0,4,1,2,2,0,2,2,17.0
60648,1.0,2,74,10,0,0,0,0,1,9,1,1,5,4,60,3,4,5,0,0,1,1,2,7,0,2,2,22.0
60677,2.0,1,28,6,0,0,2,0,1,5,2,2,4,6,30,3,4,6,0,4,1,1,2,1,0,1,2,16.0
60678,2.0,1,41,7,0,0,2,0,1,3,2,2,4,6,30,3,4,6,0,4,1,1,2,1,0,1,2,16.0
60695,1.0,1,18,4,0,0,0,0,3,7,2,1,3,6,30,3,4,6,0,0,1,1,2,4,0,2,2,19.0
60712,1.0,1,11,3,0,0,0,0,1,2,2,1,2,6,40,3,4,6,0,0,1,2,2,4,0,2,2,19.0
60718,1.0,1,18,4,0,0,0,0,2,7,2,1,3,3,20,3,4,6,0,0,4,1,1,4,0,1,2,11.0
60740,2.0,2,65,9,0,0,2,0,3,9,2,1,1,1,70,1,2,3,0,0,1,8,2,1,0,2,2,16.0
60747,1.0,2,82,11,0,0,0,0,1,4,2,1,6,6,30,3,4,6,0,0,4,1,1,4,0,1,2,19.0
60757,1.0,1,38,7,0,0,0,0,1,5,2,1,4,4,20,3,4,6,0,0,1,1,2,3,0,1,2,18.0
60864,1.0,1,40,7,0,0,0,0,1,7,2,1,6,3,70,3,2,6,0,5,1,1,1,2,0,2,2,9.0
60869,1.0,1,40,7,0,0,0,0,1,7,2,1,6,3,70,3,2,6,0,5,1,1,1,2,0,2,2,9.0
60908,1.0,2,32,6,0,0,0,0,3,9,2,1,3,4,30,2,4,4,0,8,4,1,1,4,0,1,2,19.0
60920,1.0,2,48,8,0,0,0,0,1,4,2,2,7,4,40,6,4,6,0,0,6,1,1,3,0,2,2,10.0
60921,1.0,1,35,6,0,0,0,0,1,10,2,2,7,4,40,6,4,6,0,0,6,1,1,3,0,2,2,10.0
60923,3.0,2,39,7,5,3,0,0,1,3,1,1,3,6,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
61046,1.0,1,19,4,0,0,0,0,1,4,1,1,1,6,30,3,4,6,0,0,6,8,2,6,0,1,2,21.0
61047,1.0,1,41,7,0,0,0,0,1,10,2,1,3,6,30,3,2,6,0,0,1,1,1,4,0,1,2,19.0
61100,2.0,1,37,7,0,0,2,0,2,8,1,1,1,3,50,1,4,6,0,0,6,3,3,4,0,2,2,19.0
61123,1.0,1,13,3,0,0,0,0,1,6,2,1,6,3,30,3,4,6,0,0,1,1,1,1,0,1,2,16.0
61137,1.0,1,57,9,0,0,0,0,3,8,2,1,5,3,30,8,4,6,0,0,1,1,1,4,0,2,2,19.0
61179,1.0,1,17,4,0,0,0,0,1,10,2,1,6,4,40,8,4,6,0,0,6,2,2,1,0,2,2,16.0
61183,1.0,1,48,8,0,0,0,0,1,7,2,1,3,3,30,3,4,3,0,0,1,1,2,1,0,1,2,16.0
61271,1.0,1,51,8,0,0,0,0,1,6,1,1,6,6,30,3,4,6,0,0,7,1,1,4,0,1,2,11.0
61321,1.0,1,44,7,0,0,0,0,1,10,2,1,5,6,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
61325,1.0,1,44,7,0,0,0,0,1,4,4,1,5,6,40,3,4,6,0,0,1,1,1,4,0,1,2,19.0
61353,1.0,2,37,7,0,0,0,0,1,8,2,1,2,5,60,3,4,6,0,0,1,1,1,4,0,2,2,19.0
61387,1.0,1,64,9,0,0,0,0,1,10,2,1,7,1,70,1,2,3,0,0,1,1,1,1,0,2,1,16.0
61622,1.0,1,30,6,0,0,0,0,1,2,2,2,2,3,40,1,2,6,0,0,5,1,1,1,0,1,2,16.0
61623,2.0,2,31,6,0,0,0,0,1,2,2,2,2,3,40,1,2,6,0,0,5,1,1,1,0,1,2,16.0
61694,1.0,1,44,7,0,0,0,0,1,4,1,1,1,3,60,1,4,6,0,0,1,1,1,5,0,2,2,12.0
61706,1.0,2,21,5,0,0,0,0,1,9,2,1,1,6,30,6,2,6,0,0,5,1,1,1,0,1,2,16.0
61773,1.0,1,53,8,0,0,0,0,1,10,2,1,3,4,30,6,2,4,0,5,1,1,1,1,0,1,2,16.0
61921,1.0,1,71,10,0,0,0,0,1,10,2,2,5,3,60,3,4,6,0,0,1,1,1,5,0,2,2,20.0
61922,1.0,1,71,10,0,0,0,0,1,10,2,2,5,3,60,3,4,6,0,0,1,1,1,5,0,2,2,20.0
61970,1.0,2,51,8,0,0,0,0,3,10,2,1,7,3,30,1,2,3,0,8,1,1,1,3,0,1,2,18.0
62009,3.0,1,13,3,5,2,0,0,1,4,1,1,4,4,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
62131,1.0,1,54,8,0,0,0,0,1,10,1,2,5,3,40,6,2,4,0,4,1,1,1,4,0,1,2,11.0
62132,3.0,2,72,10,1,3,0,0,1,9,1,2,5,3,40,6,2,4,0,4,1,1,1,4,0,1,2,11.0
62216,3.0,2,98,11,5,1,0,0,1,9,1,1,2,6,30,3,4,6,0,0,1,1,1,1,0,1,2,8.0
62303,1.0,1,17,4,0,0,0,0,1,10,2,1,3,3,50,1,4,4,0,8,4,1,1,4,0,2,2,19.0
62304,1.0,1,36,7,0,0,0,0,2,10,2,1,3,3,50,1,4,4,0,8,4,1,1,4,0,2,2,19.0
62322,1.0,1,45,7,0,0,0,0,1,7,1,2,1,3,30,8,4,6,0,0,1,2,2,6,0,2,2,21.0
62323,2.0,2,46,8,0,0,0,0,1,7,1,2,1,3,30,8,4,6,0,0,1,2,2,6,0,2,2,21.0
62370,1.0,1,24,5,0,0,0,0,1,3,1,1,6,6,30,1,4,6,0,0,1,1,1,3,3,1,2,18.0
62372,1.0,1,49,8,0,0,0,0,1,3,2,1,4,6,30,8,4,6,0,0,1,1,1,4,0,1,2,19.0
62395,2.0,2,7,2,0,0,2,0,1,5,2,1,1,4,30,1,4,6,0,0,1,1,1,1,0,2,2,16.0
62460,3.0,1,43,7,9,5,0,0,1,7,1,1,5,4,30,3,4,6,0,1,4,1,1,4,0,1,2,19.0
62500,2.0,2,43,7,0,0,1,0,1,2,2,2,3,3,30,6,2,4,0,1,4,2,2,4,0,1,2,19.0
62501,1.0,1,38,7,0,0,0,0,1,3,2,2,3,3,30,6,2,4,0,1,4,2,2,4,0,1,2,19.0
62569,1.0,1,38,7,0,0,0,0,3,10,2,1,7,6,60,6,4,6,0,0,1,2,2,3,0,2,2,18.0
62752,1.0,2,32,6,0,0,0,0,1,10,3,3,4,3,70,5,4,3,1,0,1,3,1,2,0,2,1,17.0
62753,1.0,2,61,9,0,0,0,0,3,7,3,3,4,3,70,5,4,3,1,0,1,3,1,2,0,2,1,17.0
62754,1.0,1,43,7,0,0,0,0,1,10,3,3,4,3,70,5,4,3,1,0,1,3,1,2,0,2,1,17.0
62769,3.0,2,10,2,10,9,0,0,1,8,1,1,2,6,30,3,4,6,0,0,1,1,1,1,1,1,2,16.0
62909,1.0,2,50,8,0,0,0,0,3,7,2,5,4,6,60,6,4,6,0,0,1,1,1,3,0,2,2,18.0
62910,2.0,1,14,3,0,0,1,0,3,7,2,5,4,6,60,6,4,6,0,0,1,1,1,3,0,2,2,18.0
62911,2.0,1,14,3,0,0,2,0,2,9,2,5,4,6,60,6,4,6,0,0,1,1,1,3,0,2,2,18.0
62912,1.0,2,50,8,0,0,0,0,3,10,2,5,4,6,60,6,4,6,0,0,1,1,1,3,0,2,2,18.0
62913,2.0,1,10,2,0,0,1,0,3,10,2,5,4,6,60,6,4,6,0,0,1,1,1,3,0,2,2,18.0
62924,1.0,1,19,4,0,0,0,0,1,7,2,1,6,3,40,8,4,6,0,4,4,2,2,4,0,1,2,19.0
62925,1.0,1,22,5,0,0,0,0,1,9,2,1,5,3,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
62945,1.0,2,52,8,0,0,0,0,3,10,2,1,3,3,70,1,2,3,0,0,1,1,1,4,0,2,2,19.0
62967,1.0,2,55,8,0,0,0,0,1,3,2,1,3,3,30,3,2,6,0,0,4,3,2,4,0,1,2,19.0
62994,3.0,1,25,5,1,1,0,0,1,7,1,2,7,4,30,3,4,6,0,4,1,1,2,4,0,1,2,19.0
62995,1.0,2,17,4,0,0,0,0,1,10,1,2,7,4,30,3,4,6,0,4,1,1,2,4,0,1,2,19.0
63215,1.0,2,58,9,0,0,0,0,1,3,2,1,2,3,40,6,2,4,0,5,1,1,1,1,0,2,2,16.0
63229,1.0,1,61,9,0,0,0,0,1,3,2,1,1,3,70,1,2,3,0,0,4,1,1,2,0,2,2,17.0
63275,1.0,1,17,4,0,0,0,0,3,8,2,1,3,3,30,3,4,6,0,0,1,1,1,4,0,2,2,19.0
63284,1.0,1,37,7,0,0,0,0,1,9,2,1,3,6,30,2,4,6,0,0,4,1,1,5,0,1,2,20.0
63293,1.0,1,62,9,0,0,0,0,1,9,3,1,7,3,50,3,4,6,0,0,1,1,2,5,0,2,2,20.0
63580,2.0,2,7,2,0,0,2,0,1,6,2,1,5,6,30,3,4,6,0,0,1,1,2,7,0,1,2,22.0
63621,1.0,2,21,5,0,0,0,0,1,4,2,1,2,3,30,3,2,6,0,0,4,1,1,4,0,1,2,19.0
63727,1.0,2,41,7,0,0,0,0,1,3,2,2,4,6,30,6,4,6,0,0,4,2,2,3,0,1,2,18.0
63728,2.0,1,13,3,0,0,2,0,1,3,2,2,4,6,30,6,4,6,0,0,4,2,2,3,0,1,2,18.0
63796,1.0,2,26,6,0,0,0,0,1,4,3,1,6,1,70,5,4,1,0,0,6,1,1,4,0,1,1,19.0
63914,3.0,2,40,7,6,9,0,0,2,9,1,1,4,4,20,3,4,6,0,4,1,9,1,4,0,2,2,19.0
63934,1.0,1,16,4,0,0,0,0,3,9,3,2,6,4,30,6,2,6,0,0,1,1,1,4,0,2,2,11.0
63935,1.0,2,31,6,0,0,0,0,3,10,3,2,6,4,30,6,2,6,0,0,1,1,1,4,0,2,2,11.0
63950,2.0,2,20,4,0,0,1,0,2,6,2,1,7,4,30,3,4,6,0,0,1,1,1,4,0,1,2,11.0
63966,3.0,1,60,9,9,8,0,0,1,6,1,1,3,6,30,1,4,4,0,8,1,1,1,4,0,1,2,11.0
63967,2.0,2,35,6,0,0,1,0,3,8,1,1,3,6,30,1,4,4,0,8,1,1,1,4,0,1,2,11.0
63968,1.0,2,69,10,0,0,0,0,3,8,1,1,3,6,30,1,4,4,0,8,1,1,1,4,0,1,2,11.0
63997,1.0,2,25,5,0,0,0,0,1,5,1,1,6,6,30,3,4,4,0,0,1,1,1,5,0,2,2,12.0
64018,3.0,1,26,6,6,9,0,0,1,4,3,1,3,6,30,3,1,6,0,0,1,1,1,4,0,1,2,11.0
64084,2.0,1,17,4,0,0,2,0,1,5,2,4,6,1,70,1,4,3,0,0,1,1,1,4,0,2,1,11.0
64085,2.0,1,17,4,0,0,1,0,1,4,2,4,6,1,70,1,4,3,0,0,1,1,1,4,0,2,1,11.0
64086,2.0,1,18,4,0,0,2,0,1,4,2,4,6,1,70,1,4,3,0,0,1,1,1,4,0,2,1,11.0
64120,2.0,1,1,1,0,0,0,4,1,4,2,1,4,6,30,3,4,6,0,0,1,1,1,6,0,1,2,21.0
64167,3.0,1,13,3,4,1,0,0,1,7,1,1,4,3,30,3,4,6,0,4,1,1,1,4,0,1,2,19.0
64194,3.0,2,31,6,9,7,0,0,1,3,1,1,6,6,30,6,4,6,0,0,1,1,1,4,0,1,2,19.0
64221,1.0,1,16,4,0,0,0,0,1,2,1,1,1,4,40,1,4,6,0,0,1,1,1,7,0,2,2,22.0
64254,3.0,2,75,10,5,3,0,0,1,9,1,1,6,6,20,3,4,6,0,0,1,2,2,4,0,1,2,11.0
64346,1.0,2,50,8,0,0,0,0,2,9,2,2,4,4,60,3,4,6,0,0,1,1,1,3,0,2,2,18.0
64347,1.0,1,46,8,0,0,0,0,1,2,2,2,4,4,60,3,4,6,0,0,1,1,1,3,0,2,2,18.0
64402,2.0,1,69,10,0,0,1,0,3,9,2,1,4,3,50,3,4,4,0,0,1,1,1,7,0,2,2,22.0
64477,1.0,2,26,6,0,0,0,0,1,2,2,1,6,6,30,2,4,6,0,8,1,1,1,5,0,1,2,20.0
64557,3.0,1,10,2,6,7,0,0,1,8,1,1,5,6,20,8,4,6,0,0,1,1,2,3,0,1,2,18.0
64617,1.0,1,24,5,0,0,0,0,1,5,2,1,6,3,50,8,4,6,0,0,1,1,1,4,0,2,2,19.0
65043,3.0,1,64,9,10,9,0,0,1,1,1,1,3,6,30,3,4,6,0,0,1,1,1,4,2,1,2,19.0
65121,1.0,1,17,4,0,0,0,0,1,7,1,1,5,3,70,1,4,6,0,0,1,2,2,6,0,2,2,21.0
65153,1.0,2,29,6,0,0,0,0,1,2,2,1,2,6,30,2,4,6,0,0,1,1,1,3,0,1,2,18.0
65170,1.0,2,48,8,0,0,0,0,1,6,2,1,4,6,30,3,4,6,0,0,1,1,1,3,0,2,2,18.0
65212,3.0,1,30,6,9,5,0,0,1,1,1,1,4,6,30,1,2,6,0,0,4,1,1,4,0,2,2,19.0
65329,1.0,1,44,7,0,0,0,0,1,4,1,1,6,6,30,3,4,6,0,0,1,1,1,6,0,1,2,21.0
65459,2.0,1,12,3,0,0,1,0,1,7,2,1,3,3,60,1,2,3,0,0,1,1,1,1,0,1,2,16.0
65551,1.0,1,33,6,0,0,0,0,1,5,3,1,4,3,60,3,4,6,0,0,1,1,1,5,0,2,2,20.0
65572,1.0,1,38,7,0,0,0,0,1,8,2,1,5,6,40,3,4,6,0,0,1,1,2,5,0,2,2,20.0
65631,1.0,1,46,8,0,0,0,0,1,4,2,2,5,6,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
65632,2.0,2,34,6,0,0,1,0,1,4,2,2,5,6,30,3,4,6,0,0,1,1,1,4,0,1,2,19.0
66067,1.0,1,14,3,0,0,0,0,1,9,2,1,3,6,20,3,4,6,0,0,1,1,1,4,0,1,2,19.0
66227,1.0,1,16,4,0,0,0,0,1,9,1,1,1,6,30,3,4,6,0,0,1,1,1,6,0,1,2,21.0
66325,1.0,2,17,4,0,0,0,0,1,1,1,1,1,4,60,1,4,6,0,0,1,1,1,5,0,2,2,20.0
66336,3.0,1,31,6,8,1,0,0,1,8,1,1,7,3,50,1,4,6,0,8,1,1,1,4,0,2,2,11.0
66372,1.0,1,38,7,0,0,0,0,1,8,2,2,4,3,40,6,2,3,0,5,1,1,1,1,0,1,2,16.0
66373,2.0,1,38,7,0,0,1,0,1,8,2,2,4,3,40,6,2,3,0,5,1,1,1,1,0,1,2,16.0
66376,1.0,2,46,8,0,0,0,0,1,8,1,1,6,6,30,9,4,6,0,0,1,1,2,5,0,1,2,20.0
66480,1.0,1,24,5,0,0,0,0,2,8,2,1,2,3,30,3,4,6,0,0,1,1,1,6,0,2,2,21.0
66547,3.0,1,76,11,1,1,0,0,1,10,2,1,7,4,30,3,2,3,0,5,1,1,1,4,0,1,2,11.0
66552,2.0,1,40,7,0,0,0,0,1,3,2,2,3,6,30,2,4,6,0,0,1,2,2,1,0,1,2,16.0
66553,1.0,1,26,6,0,0,0,0,1,3,2,2,3,6,30,2,4,6,0,0,1,2,2,1,0,1,2,16.0
66608,1.0,2,29,6,0,0,0,0,1,8,1,1,6,3,40,6,2,6,2,5,1,3,3,5,2,1,2,20.0
66689,3.0,2,20,4,7,3,0,0,1,9,1,1,3,4,30,3,2,6,0,0,1,1,1,4,0,1,2,19.0
66712,1.0,1,53,8,0,0,0,0,1,3,2,2,6,6,40,9,2,6,0,0,7,8,1,1,0,1,2,16.0
66804,2.0,1,31,6,0,0,0,0,1,5,2,1,4,3,50,6,2,6,0,0,1,1,1,1,0,2,2,16.0
66831,1.0,1,39,7,0,0,0,0,2,4,6,4,3,1,70,1,4,1,0,0,4,1,1,4,0,2,1,19.0
66832,2.0,2,32,6,0,0,1,0,2,4,6,4,3,1,70,1,4,1,0,0,4,1,1,4,0,2,1,19.0
66833,2.0,1,43,7,0,0,2,0,1,6,6,4,3,1,70,1,4,1,0,0,4,1,1,4,0,2,1,19.0
66834,1.0,1,43,7,0,0,0,0,1,4,6,4,3,1,70,1,4,1,0,0,4,1,1,4,0,2,1,19.0
66858,1.0,1,31,6,0,0,0,0,3,4,2,1,1,3,40,1,4,4,0,0,7,9,1,1,0,1,2,16.0
67043,1.0,1,22,5,0,0,0,0,1,6,1,1,1,5,30,3,4,5,0,0,1,8,2,5,0,1,2,20.0
67077,1.0,1,28,6,0,0,0,0,2,10,1,1,2,3,40,3,4,6,0,0,1,1,1,4,0,2,2,19.0
67173,3.0,1,33,6,9,5,0,0,1,6,1,1,6,6,30,1,4,6,0,0,5,1,1,4,2,1,2,19.0
67184,1.0,2,33,6,0,0,0,0,1,5,1,1,1,4,30,6,4,6,0,0,7,1,1,5,0,1,2,20.0
