,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,casualty_home_area_type,casualty_imd_decile,number_of_vehicles,number_of_casualties,day_of_week,first_road_class,speed_limit,junction_detail,junction_control,second_road_class,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,labels
879,3.0,2,18,4,1,2,0,0,1,5,1,1,4,3,30,8,9,6,9,1,4,1,1,9,0,1,2,23.0
923,1.0,2,27,6,0,0,0,0,1,4,2,1,1,3,20,3,4,6,0,0,1,2,2,4,0,1,2,19.0
930,3.0,1,35,6,1,1,0,0,1,8,1,1,3,3,30,3,9,6,0,9,1,1,1,4,9,1,2,19.0
931,1.0,2,25,5,0,0,0,0,1,4,2,1,5,3,30,1,4,3,0,8,1,1,1,9,0,2,2,23.0
938,3.0,2,83,11,1,3,0,0,1,2,1,1,2,3,30,3,9,3,9,8,1,1,1,9,9,1,2,23.0
943,1.0,1,29,6,0,0,0,0,1,5,2,1,1,3,50,7,2,4,9,5,1,2,2,9,0,2,2,23.0
949,3.0,2,40,7,10,9,0,0,1,3,1,1,6,5,30,1,9,6,9,9,1,1,1,9,9,1,2,23.0
958,1.0,1,23,5,0,0,0,0,1,2,2,1,1,5,30,3,4,6,9,9,4,2,2,9,9,1,2,15.0
962,3.0,2,27,6,8,3,0,0,1,7,1,1,2,6,30,3,4,6,0,8,1,1,2,1,0,1,2,16.0
963,1.0,1,47,8,0,0,0,0,1,3,2,1,4,3,30,1,2,3,0,5,4,1,9,9,9,1,2,23.0
982,1.0,1,65,9,0,0,0,0,1,9,2,1,3,3,30,6,4,5,9,9,1,2,2,1,0,1,2,16.0
985,1.0,1,23,5,0,0,0,0,1,10,2,1,1,6,30,1,4,3,9,9,4,9,9,9,9,1,2,23.0
1011,1.0,2,37,7,0,0,0,0,1,1,2,1,1,6,30,99,9,6,9,9,4,9,9,9,9,1,2,23.0
1020,1.0,1,54,8,0,0,0,0,1,8,2,1,2,6,30,99,9,6,9,9,1,9,9,9,9,1,2,23.0
1050,3.0,2,70,10,4,1,0,0,1,2,1,1,3,3,20,3,4,6,2,1,4,8,2,4,0,1,2,19.0
1058,1.0,1,53,8,0,0,0,0,1,4,2,1,6,3,30,3,9,6,9,9,4,9,9,9,9,1,2,23.0
1069,1.0,1,19,4,0,0,0,0,1,8,2,1,5,3,30,3,9,6,0,5,1,8,1,9,0,1,2,23.0
1073,3.0,2,12,3,9,6,0,0,1,5,1,1,2,6,30,99,9,6,9,9,7,9,9,9,9,1,2,23.0
1078,1.0,1,65,9,0,0,0,0,1,3,2,2,5,3,30,1,4,4,0,9,4,9,9,9,9,2,2,23.0
1081,1.0,1,51,8,0,0,0,0,1,2,1,1,3,3,30,3,9,6,9,9,4,1,1,9,9,1,2,23.0
1089,3.0,1,32,6,10,9,0,0,1,4,1,1,5,6,20,99,9,6,9,9,4,1,1,9,9,1,2,23.0
1100,3.0,2,32,6,10,9,0,0,1,3,1,1,4,3,20,7,9,3,9,9,4,5,2,9,9,1,2,23.0
1101,1.0,1,29,6,0,0,0,0,1,2,2,1,4,4,20,3,4,6,0,0,1,2,2,4,0,1,2,19.0
1110,1.0,1,13,3,0,0,0,0,1,7,2,1,4,6,20,2,9,6,0,0,4,2,2,3,0,1,2,18.0
1149,1.0,2,30,6,0,0,0,0,1,7,2,1,4,3,30,6,2,5,0,0,4,2,2,4,0,1,2,19.0
1153,1.0,1,71,10,0,0,0,0,1,8,2,1,1,4,20,3,9,6,9,9,1,9,1,9,9,1,2,23.0
1209,1.0,2,65,9,0,0,0,0,1,5,1,1,5,3,30,3,4,6,9,9,5,2,2,9,9,1,2,23.0
1210,1.0,2,38,7,0,0,0,0,1,3,2,1,7,3,30,6,9,5,9,9,4,1,1,9,9,1,2,23.0
1219,3.0,2,27,6,10,9,0,0,1,4,1,1,6,3,20,5,2,6,0,5,1,1,1,9,9,1,2,23.0
1221,1.0,1,17,4,0,0,0,0,1,3,2,1,6,6,20,99,9,6,9,9,7,1,1,9,9,1,2,23.0
1248,1.0,2,32,6,0,0,0,0,1,7,2,1,6,3,30,99,2,6,9,5,4,8,1,9,0,1,2,23.0
1276,1.0,2,26,6,0,0,0,0,1,9,2,1,5,3,40,6,9,6,9,5,1,1,1,9,9,1,2,23.0
1296,1.0,1,35,6,0,0,0,0,1,5,2,1,1,3,30,6,4,3,0,0,1,1,1,3,0,1,2,18.0
1305,3.0,2,64,9,1,1,0,0,1,1,1,1,1,3,20,3,4,3,1,1,5,1,1,3,0,1,2,18.0
1337,1.0,1,26,6,0,0,0,0,1,4,2,1,5,5,30,6,9,6,9,9,1,9,9,9,9,1,2,23.0
1341,1.0,2,48,8,0,0,0,0,1,5,2,1,6,3,40,99,9,6,9,9,1,9,9,9,9,1,2,23.0
1342,1.0,1,63,9,0,0,0,0,1,5,1,1,2,4,20,3,4,6,0,1,1,1,1,6,2,1,2,21.0
1353,3.0,2,42,7,1,3,0,0,1,7,1,1,2,3,30,3,9,5,9,9,1,9,9,9,0,1,2,23.0
1354,1.0,2,21,5,0,0,0,0,1,10,1,2,7,5,30,3,9,6,9,9,1,9,1,9,9,1,2,23.0
1364,3.0,2,30,6,10,9,0,0,1,4,1,1,2,3,50,99,9,6,9,9,1,2,2,9,9,1,2,23.0
1387,1.0,2,30,6,0,0,0,0,1,4,1,2,2,3,40,3,4,6,0,0,1,1,1,9,0,1,2,23.0
1390,1.0,1,43,7,0,0,0,0,1,6,2,1,3,3,30,3,2,4,0,5,1,1,1,2,0,1,2,17.0
1403,1.0,1,24,5,0,0,0,0,1,3,3,2,3,5,50,3,2,5,1,9,1,1,1,9,0,1,2,15.0
1423,3.0,2,26,6,10,9,0,0,1,4,1,1,2,4,20,3,9,3,9,9,4,1,1,9,9,1,2,23.0
1426,1.0,1,43,7,0,0,0,0,1,2,2,2,3,5,30,5,2,3,9,0,1,1,1,9,0,1,2,23.0
1440,1.0,2,24,5,0,0,0,0,1,3,2,1,3,3,20,3,4,5,0,0,4,2,2,2,0,1,2,17.0
1447,1.0,1,24,5,0,0,0,0,1,2,1,1,5,4,30,1,4,4,9,9,7,9,9,9,9,1,2,23.0
1452,1.0,2,62,9,0,0,0,0,1,4,2,1,5,3,30,99,9,6,9,9,4,1,1,9,9,1,2,23.0
1462,3.0,2,68,10,10,9,0,0,1,9,1,1,4,5,20,1,9,6,9,9,1,9,9,9,9,1,2,23.0
1483,3.0,2,14,3,10,9,0,0,1,2,1,1,5,4,30,6,9,3,9,9,1,1,1,9,9,1,2,23.0
1492,1.0,1,38,7,0,0,0,0,1,5,2,1,4,3,20,99,2,6,0,5,4,1,1,3,0,1,2,18.0
1508,1.0,2,53,8,0,0,0,0,1,8,2,1,4,3,30,3,9,3,0,9,7,8,1,4,0,1,2,19.0
1513,1.0,2,29,6,0,0,0,0,1,1,2,2,4,6,30,3,4,5,0,1,5,5,2,9,0,1,2,23.0
1518,3.0,2,60,9,1,9,0,0,1,2,1,1,4,3,30,3,9,6,9,1,4,9,9,9,9,1,2,23.0
1519,2.0,1,37,7,0,0,2,0,1,3,2,2,2,5,30,3,9,6,9,9,1,9,9,9,9,1,2,23.0
1520,2.0,1,41,7,0,0,2,0,1,3,2,2,2,5,30,3,9,6,9,9,1,9,9,9,9,1,2,23.0
1538,1.0,2,37,7,0,0,0,0,1,8,2,1,5,3,40,99,9,6,9,9,1,8,1,9,9,1,2,23.0
1550,1.0,1,33,6,0,0,0,0,1,3,2,1,5,4,30,3,4,5,0,0,1,1,1,4,0,1,2,19.0
1553,1.0,2,22,5,0,0,0,0,1,3,1,1,5,3,30,3,4,5,9,9,1,9,9,9,9,1,2,23.0
1560,1.0,1,27,6,0,0,0,0,1,5,1,1,4,3,20,5,2,6,9,5,4,1,1,9,0,1,2,23.0
1581,1.0,2,55,8,0,0,0,0,3,9,2,1,4,5,20,3,3,6,9,9,7,1,9,9,9,1,2,23.0
1592,1.0,2,41,7,0,0,0,0,1,2,2,1,5,6,20,3,4,6,0,0,4,1,1,6,0,1,2,21.0
1593,1.0,1,28,6,0,0,0,0,1,2,1,1,5,3,30,1,4,3,0,0,4,1,2,4,0,1,2,11.0
1597,1.0,1,34,6,0,0,0,0,1,9,2,1,2,3,30,6,4,6,0,0,7,1,9,9,0,1,2,23.0
1646,1.0,1,65,9,0,0,0,0,1,6,2,1,6,5,30,3,4,6,0,0,1,1,1,5,2,1,2,20.0
1664,1.0,2,70,10,0,0,0,0,1,4,2,1,6,5,20,3,9,6,9,9,1,1,1,9,0,1,2,23.0
1668,1.0,1,26,6,0,0,0,0,1,3,2,1,3,3,30,6,2,3,0,4,4,9,9,9,9,1,2,23.0
1701,1.0,2,45,7,0,0,0,0,1,5,2,1,7,3,20,3,2,4,9,9,4,9,9,9,0,1,2,23.0
1731,1.0,1,15,3,0,0,0,0,1,1,2,1,1,5,20,3,2,4,0,0,4,1,1,2,0,1,2,9.0
1734,1.0,1,30,6,0,0,0,0,1,3,2,1,1,3,30,6,2,3,0,5,4,1,1,4,2,1,2,19.0
1744,1.0,1,21,5,0,0,0,0,1,2,1,1,1,3,30,1,4,3,0,4,4,1,1,4,0,1,2,19.0
1750,1.0,2,34,6,0,0,0,0,1,7,2,1,1,6,20,3,4,6,9,9,1,8,1,4,0,1,2,19.0
1755,1.0,2,26,6,0,0,0,0,1,4,2,1,2,4,30,8,9,6,9,9,1,9,9,9,9,1,2,23.0
1756,3.0,2,28,6,10,9,0,0,1,5,1,1,3,6,30,6,4,6,2,1,4,1,2,9,9,1,2,23.0
1757,3.0,1,25,5,4,2,0,0,1,3,1,1,3,3,30,6,2,3,0,5,1,1,9,9,0,1,2,23.0
1758,1.0,1,49,8,0,0,0,0,1,2,2,1,1,6,20,3,2,6,9,9,1,8,1,9,0,1,2,23.0
1766,3.0,1,20,4,1,1,0,0,2,9,1,1,7,3,30,3,9,4,0,5,1,2,2,4,9,1,2,19.0
1786,1.0,2,37,7,0,0,0,0,1,6,2,1,2,3,30,3,9,6,9,9,4,9,9,9,9,1,2,23.0
1790,3.0,1,31,6,5,3,0,0,1,2,1,1,6,6,30,3,4,6,0,9,1,9,9,9,9,1,2,23.0
1795,1.0,1,32,6,0,0,0,0,1,7,2,1,7,6,30,99,2,6,9,9,1,1,2,9,0,1,2,23.0
1798,1.0,1,32,6,0,0,0,0,1,2,2,1,1,3,30,3,9,3,9,9,1,9,9,9,9,1,2,23.0
1854,1.0,2,27,6,0,0,0,0,1,2,1,1,3,6,30,3,9,6,9,9,1,9,9,9,9,1,2,23.0
1855,1.0,1,46,8,0,0,0,0,1,3,2,1,2,6,30,99,9,6,9,9,1,9,9,9,9,1,2,23.0
1861,3.0,1,41,7,10,9,0,0,1,2,1,1,6,3,30,8,4,6,9,9,1,9,9,9,9,1,2,23.0
1864,1.0,1,30,6,0,0,0,0,1,6,2,1,5,3,20,99,9,6,9,9,1,1,1,9,9,1,2,23.0
1909,1.0,1,38,7,0,0,0,0,1,4,1,1,5,3,30,9,2,5,0,0,1,1,9,9,0,1,2,23.0
1914,3.0,2,33,6,4,3,0,0,1,9,1,1,3,5,30,6,9,3,9,9,1,9,9,9,9,1,2,23.0
1916,2.0,1,29,6,0,0,9,0,1,4,2,1,4,3,30,99,9,6,9,9,7,1,1,9,0,1,2,23.0
1933,1.0,2,52,8,0,0,0,0,1,2,2,1,4,6,20,5,4,6,9,9,1,1,1,9,9,1,2,23.0
1935,1.0,2,52,8,0,0,0,0,1,3,2,1,5,3,30,6,2,6,0,5,1,1,1,1,0,1,2,16.0
1939,1.0,1,48,8,0,0,0,0,1,7,1,1,5,3,30,1,4,6,0,8,1,1,1,5,0,1,2,12.0
1945,1.0,1,51,8,0,0,0,0,1,8,2,1,5,3,30,1,4,4,0,5,4,1,1,4,0,1,2,19.0
1946,3.0,2,17,4,1,3,0,0,1,3,1,1,1,3,20,3,2,6,0,5,7,8,9,9,0,1,2,15.0
